Session_ID,Customer_ID,Vehicle_ID,Station_ID,Session_Start,Duration_Minutes,Energy_kWh,Tariff_per_kWh,Revenue,Charger_Type,Payment_Method,Weather,Traffic
CS000034,CU02676,V02676,S029,2025-01-20 22:01,66,33.75,12.0,405.0,DC Fast 30kW,Credit Card,Hot,Medium
CS000035,CU01905,V01905,S008,2025-03-28 14:31,82,21.07,11.5,242.31,DC Fast 60kW,Debit Card,Clear,Low
CS000036,CU01006,V01006,S011,2025-06-09 04:36,84,51.77,8.5,440.05,DC Ultra Fast 120kW,UPI,Hot,Medium
CS000037,CU00684,V00684,S023,2025-01-04 09:01,121,47.6,10.0,476.0,AC Fast,Credit Card,Hot,Medium
CS000038,CU02957,V02957,S029,2025-04-19 22:46,98,30.07,11.5,345.81,AC Slow,Credit Card,Cloudy,Low
CS000039,CU01213,V01213,S005,2025-06-29 21:52,42,17.62,12.0,211.44,DC Fast 30kW,Credit Card,Cloudy,Medium
CS000040,CU01783,V01783,S013,2025-06-20 02:32,53,21.28,12.0,255.36,AC Fast,UPI,Rain,High
CS000041,CU02836,V02836,S020,2025-06-10 20:27,54,26.9,8.5,228.65,AC Fast,UPI,Cloudy,High
CS000042,CU02424,V02424,S012,2025-05-30 12:34,135,26.86,12.0,322.32,DC Ultra Fast 120kW,Debit Card,Rain,Medium
CS000043,CU02515,V02515,S044,2025-03-25 02:58,129,53.13,10.0,531.3,AC Slow,Credit Card,Hot,Medium
CS000044,CU02793,V02793,S020,2025-02-22 17:06,106,27.74,12.0,332.88,DC Fast 30kW,UPI,Rain,High
CS000045,CU00421,V00421,S026,2025-01-20 21:51,125,47.42,8.5,403.07,DC Fast 30kW,Debit Card,Rain,Low
CS000046,CU02536,V02536,S044,2025-06-15 12:03,34,47.76,10.0,477.6,DC Fast 60kW,UPI,Rain,High
CS000047,CU01774,V01774,S020,2025-02-28 03:20,91,10.97,10.0,109.7,AC Slow,Debit Card,Cloudy,Low
CS000048,CU01919,V01919,S050,2025-02-23 02:12,116,14.35,8.5,121.97,DC Ultra Fast 120kW,Credit Card,Rain,High
CS000049,CU02615,V02615,S002,2025-02-27 05:24,42,51.46,9.0,463.14,DC Ultra Fast 120kW,Debit Card,Clear,High
CS000050,CU02569,V02569,S001,2025-05-24 15:31,36,48.24,9.0,434.16,DC Fast 60kW,Wallet,Cloudy,Medium
CS000051,CU01989,V01989,S037,2025-03-07 18:01,87,39.0,11.5,448.5,DC Fast 60kW,Credit Card,Rain,Medium
CS000052,CU00492,V00492,S007,2025-01-27 18:12,139,20.45,10.0,204.5,AC Slow,Credit Card,Cloudy,Medium
CS000053,CU02533,V02533,S014,2025-04-23 07:59,48,35.54,11.5,408.71,DC Fast 30kW,UPI,Hot,Low
CS000054,CU02563,V02563,S033,2025-05-12 03:25,134,44.9,12.0,538.8,DC Ultra Fast 120kW,Wallet,Clear,Low
CS000055,CU02588,V02588,S010,2025-06-14 18:12,48,21.67,12.0,260.04,AC Fast,Wallet,Clear,Low
CS000056,CU00823,V00823,S008,2025-05-12 09:57,127,35.67,12.0,428.04,DC Fast 30kW,UPI,Hot,Medium
CS000057,CU02574,V02574,S019,2025-04-28 21:01,61,33.77,9.0,303.93,AC Slow,Debit Card,Cloudy,Medium
CS000058,CU02162,V02162,S016,2025-02-20 22:44,48,39.97,12.0,479.64,AC Slow,Wallet,Cloudy,High
CS000059,CU02847,V02847,S037,2025-03-24 16:18,69,39.59,10.0,395.9,DC Fast 30kW,Credit Card,Hot,High
CS000060,CU02101,V02101,S049,2025-03-12 20:58,22,62.51,11.5,718.87,DC Fast 60kW,Wallet,Cloudy,Medium
CS000061,CU00916,V00916,S021,2025-02-08 10:32,66,29.5,9.0,265.5,DC Ultra Fast 120kW,Debit Card,Rain,Low
CS000062,CU01073,V01073,S033,2025-01-20 19:07,130,61.9,8.5,526.15,DC Fast 60kW,UPI,Cloudy,Medium
CS000063,CU02284,V02284,S015,2025-06-14 06:54,43,23.29,8.5,197.97,DC Fast 30kW,Debit Card,Rain,Medium
CS000064,CU02813,V02813,S006,2025-01-26 20:02,110,10.53,10.0,105.3,DC Ultra Fast 120kW,Wallet,Rain,Medium
CS000065,CU01186,V01186,S036,2025-01-17 20:18,75,42.32,8.5,359.72,DC Ultra Fast 120kW,Debit Card,Cloudy,Medium
CS000066,CU00684,V00684,S008,2025-04-16 18:15,104,24.58,11.5,282.67,AC Slow,Wallet,Cloudy,Medium
CS000067,CU02980,V02980,S035,2025-03-20 21:35,33,56.9,10.0,569.0,DC Ultra Fast 120kW,Wallet,Cloudy,High
CS000068,CU01812,V01812,S046,2025-02-15 12:33,33,64.47,11.5,741.4,AC Slow,Wallet,Cloudy,Medium
CS000069,CU00396,V00396,S036,2025-02-24 10:09,69,23.92,8.5,203.32,DC Ultra Fast 120kW,Debit Card,Clear,Medium
CS000070,CU01142,V01142,S048,2025-02-26 05:15,35,38.09,9.0,342.81,AC Slow,Debit Card,Cloudy,High
CS000071,CU02664,V02664,S030,2025-05-03 22:25,77,14.99,10.0,149.9,DC Fast 30kW,UPI,Hot,High
CS000072,CU00182,V00182,S039,2025-02-22 08:48,54,51.23,9.0,461.07,DC Fast 30kW,Wallet,Rain,High
CS000073,CU02003,V02003,S019,2025-02-06 13:26,50,37.16,9.0,334.44,AC Fast,Wallet,Hot,Low
CS000074,CU00953,V00953,S042,2025-01-26 04:37,64,21.81,11.5,250.81,DC Fast 60kW,Debit Card,Clear,Low
CS000075,CU02106,V02106,S035,2025-01-22 15:34,21,14.27,11.5,164.1,DC Fast 60kW,Debit Card,Hot,Low
CS000076,CU02983,V02983,S019,2025-01-15 07:44,138,45.19,9.0,406.71,DC Fast 60kW,Credit Card,Hot,Low
CS000077,CU01961,V01961,S025,2025-06-18 09:37,114,10.72,8.5,91.12,AC Slow,UPI,Hot,Medium
CS000078,CU01646,V01646,S024,2025-01-28 13:51,131,23.95,12.0,287.4,DC Fast 30kW,Credit Card,Cloudy,High
CS000079,CU02029,V02029,S005,2025-04-16 12:06,110,20.5,8.5,174.25,DC Fast 30kW,Credit Card,Hot,Low
CS000080,CU02854,V02854,S003,2025-04-24 21:33,44,61.39,8.5,521.82,AC Fast,Credit Card,Clear,High
CS000081,CU00487,V00487,S030,2025-06-19 23:32,62,31.16,10.0,311.6,DC Ultra Fast 120kW,UPI,Clear,High
CS000082,CU01846,V01846,S049,2025-01-24 10:57,100,30.99,9.0,278.91,AC Slow,Wallet,Hot,Low
CS000083,CU00808,V00808,S043,2025-01-22 19:43,92,26.04,8.5,221.34,DC Fast 60kW,Debit Card,Hot,High
CS000084,CU02559,V02559,S044,2025-06-15 21:26,56,41.65,11.5,478.97,AC Slow,Wallet,Clear,Medium
CS000085,CU02032,V02032,S029,2025-03-18 10:45,133,36.05,11.5,414.57,DC Ultra Fast 120kW,Credit Card,Clear,Low
CS000086,CU01232,V01232,S038,2025-04-20 03:31,82,23.6,11.5,271.4,AC Fast,Debit Card,Rain,High
CS000087,CU00069,V00069,S022,2025-01-18 08:59,102,34.58,10.0,345.8,AC Slow,Debit Card,Rain,Medium
CS000088,CU01183,V01183,S018,2025-01-07 03:08,91,62.94,11.5,723.81,DC Fast 60kW,UPI,Cloudy,High
CS000089,CU02198,V02198,S028,2025-03-12 14:05,47,57.28,9.0,515.52,DC Fast 60kW,Credit Card,Clear,Medium
CS000090,CU01798,V01798,S019,2025-02-01 09:50,76,33.11,8.5,281.44,DC Fast 60kW,UPI,Cloudy,Low
CS000091,CU00111,V00111,S021,2025-05-30 09:41,94,26.43,9.0,237.87,AC Fast,Credit Card,Clear,Low
CS000092,CU02924,V02924,S003,2025-05-20 21:56,139,29.33,9.0,263.97,AC Slow,Credit Card,Hot,Low
CS000093,CU01475,V01475,S046,2025-04-24 00:26,138,49.37,9.0,444.33,DC Ultra Fast 120kW,Credit Card,Hot,Low
CS000094,CU00156,V00156,S036,2025-01-15 17:35,126,40.05,10.0,400.5,DC Fast 30kW,UPI,Clear,High
CS000095,CU01648,V01648,S044,2025-06-16 09:53,96,40.11,11.5,461.26,DC Fast 60kW,Debit Card,Cloudy,High
CS000096,CU01774,V01774,S032,2025-05-03 13:54,99,55.1,10.0,551.0,DC Ultra Fast 120kW,Wallet,Cloudy,High
CS000097,CU01508,V01508,S015,2025-03-12 16:07,72,12.0,8.5,102.0,AC Slow,Credit Card,Hot,Low
CS000098,CU00871,V00871,S019,2025-06-15 17:34,67,11.1,12.0,133.2,DC Fast 60kW,UPI,Rain,Medium
CS000099,CU02487,V02487,S025,2025-05-16 15:18,95,53.03,11.5,609.85,DC Ultra Fast 120kW,UPI,Cloudy,Low
CS000100,CU02474,V02474,S004,2025-04-07 05:17,23,14.4,11.5,165.6,DC Fast 60kW,UPI,Clear,Low
CS000101,CU02634,V02634,S011,2025-05-28 06:27,37,61.8,9.0,556.2,AC Slow,Wallet,Hot,Low
CS000102,CU00306,V00306,S029,2025-06-23 03:19,97,62.55,10.0,625.5,AC Fast,UPI,Cloudy,Low
CS000103,CU02851,V02851,S029,2025-04-11 04:42,129,48.48,12.0,581.76,DC Fast 60kW,Wallet,Rain,High
CS000104,CU01620,V01620,S009,2025-06-14 05:21,129,38.27,8.5,325.3,DC Fast 30kW,Credit Card,Cloudy,Low
CS000105,CU01086,V01086,S009,2025-04-27 12:25,111,59.43,10.0,594.3,AC Fast,UPI,Hot,Medium
CS000106,CU02822,V02822,S006,2025-06-08 06:59,62,26.91,11.5,309.46,DC Ultra Fast 120kW,Wallet,Clear,Low
CS000107,CU02526,V02526,S034,2025-05-23 11:24,133,38.65,11.5,444.47,DC Fast 30kW,UPI,Clear,High
CS000108,CU00888,V00888,S012,2025-03-26 15:53,44,42.45,10.0,424.5,DC Fast 60kW,Wallet,Clear,High
CS000109,CU02254,V02254,S030,2025-02-27 05:07,50,55.77,12.0,669.24,DC Fast 60kW,UPI,Clear,High
CS000110,CU01249,V01249,S004,2025-01-14 06:57,56,40.86,11.5,469.89,DC Fast 60kW,Debit Card,Rain,Low
CS000111,CU00688,V00688,S028,2025-01-24 02:52,116,50.12,12.0,601.44,DC Fast 60kW,UPI,Clear,High
CS000112,CU00402,V00402,S035,2025-02-07 08:42,105,23.06,10.0,230.6,AC Fast,Debit Card,Clear,Low
CS000113,CU01180,V01180,S011,2025-01-15 11:00,119,11.07,10.0,110.7,DC Ultra Fast 120kW,Credit Card,Clear,Medium
CS000114,CU01881,V01881,S015,2025-04-23 04:19,49,35.87,10.0,358.7,DC Fast 60kW,Wallet,Hot,Medium
CS000115,CU02128,V02128,S041,2025-06-29 03:20,97,9.11,12.0,109.32,AC Fast,Wallet,Hot,High
CS000116,CU02836,V02836,S033,2025-06-02 02:36,124,48.43,8.5,411.65,DC Ultra Fast 120kW,Wallet,Hot,High
CS000117,CU01774,V01774,S038,2025-02-09 07:10,88,52.15,11.5,599.73,DC Ultra Fast 120kW,UPI,Clear,Medium
CS000118,CU01233,V01233,S008,2025-02-10 20:52,28,48.32,12.0,579.84,DC Ultra Fast 120kW,UPI,Clear,Low
CS000119,CU02635,V02635,S014,2025-04-08 04:28,79,25.43,10.0,254.3,DC Ultra Fast 120kW,Wallet,Clear,High
CS000120,CU02036,V02036,S026,2025-04-23 04:00,86,9.56,12.0,114.72,AC Fast,Credit Card,Cloudy,Low
CS000121,CU01322,V01322,S033,2025-01-14 04:57,90,41.61,12.0,499.32,DC Fast 60kW,Credit Card,Cloudy,Low
CS000122,CU02759,V02759,S037,2025-05-06 13:12,128,39.52,9.0,355.68,DC Fast 30kW,UPI,Clear,Medium
CS000123,CU00912,V00912,S028,2025-05-15 22:37,46,16.34,11.5,187.91,AC Fast,Wallet,Clear,High
CS000124,CU01843,V01843,S021,2025-01-26 13:36,130,49.58,9.0,446.22,AC Fast,Debit Card,Cloudy,Medium
CS000125,CU01854,V01854,S007,2025-03-08 06:13,137,32.72,9.0,294.48,AC Fast,UPI,Hot,Low
CS000126,CU01715,V01715,S032,2025-05-22 23:46,77,17.51,10.0,175.1,AC Fast,Debit Card,Hot,Medium
CS000127,CU01263,V01263,S041,2025-04-25 23:25,62,46.27,8.5,393.3,AC Fast,Debit Card,Rain,High
CS000128,CU02036,V02036,S021,2025-06-17 06:00,64,37.81,11.5,434.82,DC Ultra Fast 120kW,Wallet,Rain,Medium
CS000129,CU02483,V02483,S001,2025-01-07 21:32,121,46.24,9.0,416.16,AC Fast,UPI,Cloudy,Low
CS000130,CU02252,V02252,S010,2025-01-26 12:40,115,62.76,10.0,627.6,DC Fast 30kW,UPI,Rain,High
CS000131,CU00506,V00506,S032,2025-02-26 05:10,112,61.16,11.5,703.34,AC Slow,Credit Card,Cloudy,High
CS000132,CU01811,V01811,S030,2025-01-11 18:58,121,26.58,10.0,265.8,DC Fast 30kW,Wallet,Hot,Medium
CS000133,CU02523,V02523,S004,2025-02-28 18:50,70,30.91,9.0,278.19,AC Fast,Wallet,Cloudy,High
CS000134,CU00296,V00296,S048,2025-06-04 04:26,92,19.76,11.5,227.24,DC Fast 60kW,Debit Card,Clear,High
CS000135,CU00499,V00499,S032,2025-03-07 20:22,121,52.49,10.0,524.9,AC Slow,Wallet,Hot,High
CS000136,CU00536,V00536,S036,2025-01-21 03:43,71,41.17,11.5,473.46,AC Slow,UPI,Hot,Medium
CS000137,CU02486,V02486,S028,2025-03-31 22:06,81,27.25,9.0,245.25,DC Fast 30kW,Credit Card,Hot,Medium
CS000138,CU02225,V02225,S024,2025-04-13 12:33,84,21.7,10.0,217.0,DC Ultra Fast 120kW,Wallet,Rain,High
CS000139,CU01466,V01466,S004,2025-01-04 16:23,73,30.74,8.5,261.29,DC Fast 30kW,Wallet,Rain,High
CS000140,CU02086,V02086,S046,2025-01-08 13:46,28,23.64,8.5,200.94,DC Ultra Fast 120kW,UPI,Hot,Low
CS000141,CU00989,V00989,S001,2025-03-27 14:22,63,28.63,9.0,257.67,DC Fast 30kW,Debit Card,Cloudy,High
CS000142,CU02754,V02754,S029,2025-02-24 02:25,28,13.86,11.5,159.39,DC Ultra Fast 120kW,Debit Card,Cloudy,Medium
CS000143,CU01968,V01968,S029,2025-04-30 12:32,130,35.34,9.0,318.06,AC Slow,Debit Card,Clear,High
CS000144,CU01676,V01676,S013,2025-01-05 12:27,121,27.06,11.5,311.19,DC Fast 60kW,Credit Card,Cloudy,Low
CS000145,CU02804,V02804,S022,2025-04-14 12:31,66,31.62,8.5,268.77,AC Slow,Wallet,Cloudy,High
CS000146,CU00765,V00765,S030,2025-06-21 08:27,128,23.56,8.5,200.26,DC Fast 60kW,UPI,Clear,Medium
CS000147,CU00995,V00995,S032,2025-01-14 17:31,49,37.46,8.5,318.41,DC Fast 60kW,Debit Card,Rain,Low
CS000148,CU01370,V01370,S047,2025-04-20 08:01,139,54.49,8.5,463.17,DC Fast 60kW,UPI,Clear,Medium
CS000149,CU01609,V01609,S001,2025-02-07 18:18,101,36.36,9.0,327.24,DC Fast 30kW,UPI,Cloudy,Medium
CS000150,CU01638,V01638,S049,2025-02-16 15:01,120,26.33,10.0,263.3,DC Fast 30kW,UPI,Clear,Medium
CS000151,CU02613,V02613,S007,2025-03-13 14:32,84,62.42,12.0,749.04,DC Ultra Fast 120kW,Wallet,Clear,Low
CS000152,CU00021,V00021,S042,2025-05-04 20:36,34,16.88,8.5,143.48,AC Slow,Debit Card,Rain,Low
CS000153,CU00737,V00737,S031,2025-04-11 13:59,113,29.24,9.0,263.16,DC Fast 60kW,Credit Card,Hot,High
CS000154,CU01851,V01851,S033,2025-04-03 23:24,76,23.2,12.0,278.4,DC Fast 30kW,UPI,Rain,Low
CS000155,CU00741,V00741,S003,2025-01-07 07:16,40,12.37,11.5,142.25,AC Fast,Debit Card,Rain,High
CS000156,CU00080,V00080,S028,2025-04-03 02:31,130,55.85,9.0,502.65,AC Fast,UPI,Clear,High
CS000157,CU01468,V01468,S037,2025-02-04 15:43,20,30.42,8.5,258.57,DC Fast 30kW,Debit Card,Clear,Medium
CS000158,CU00227,V00227,S001,2025-02-18 01:42,123,63.57,8.5,540.35,DC Fast 30kW,Debit Card,Clear,Low
CS000159,CU02392,V02392,S032,2025-03-10 15:01,52,16.05,10.0,160.5,AC Slow,UPI,Cloudy,Medium
CS000160,CU01834,V01834,S037,2025-04-21 04:34,121,16.45,8.5,139.82,AC Slow,Debit Card,Clear,Low
CS000161,CU00164,V00164,S037,2025-01-02 10:49,102,33.62,10.0,336.2,DC Fast 60kW,Credit Card,Rain,High
CS000162,CU01045,V01045,S016,2025-01-13 06:49,63,20.68,12.0,248.16,DC Fast 60kW,Credit Card,Clear,Medium
CS000163,CU02861,V02861,S012,2025-05-20 05:16,49,8.67,12.0,104.04,AC Fast,Credit Card,Hot,Medium
CS000164,CU00456,V00456,S029,2025-03-31 13:41,29,30.42,11.5,349.83,AC Slow,Credit Card,Hot,Medium
CS000165,CU02051,V02051,S037,2025-01-11 23:16,50,29.45,12.0,353.4,DC Fast 30kW,Debit Card,Clear,Medium
CS000166,CU02580,V02580,S014,2025-02-18 00:53,117,18.31,9.0,164.79,DC Fast 30kW,Wallet,Cloudy,High
CS000167,CU02686,V02686,S030,2025-04-10 15:03,94,16.17,8.5,137.45,DC Fast 30kW,Wallet,Cloudy,High
CS000168,CU01097,V01097,S024,2025-03-30 06:59,40,29.23,10.0,292.3,AC Fast,Wallet,Clear,Low
CS000169,CU02383,V02383,S042,2025-05-14 08:24,54,43.34,8.5,368.39,DC Fast 30kW,UPI,Hot,High
CS000170,CU00494,V00494,S024,2025-02-27 17:55,21,31.7,9.0,285.3,DC Fast 60kW,UPI,Hot,High
CS000171,CU01893,V01893,S024,2025-01-11 00:42,113,64.42,10.0,644.2,DC Fast 60kW,Credit Card,Cloudy,Medium
CS000172,CU01040,V01040,S035,2025-01-03 00:30,96,30.23,11.5,347.64,AC Fast,UPI,Rain,High
CS000173,CU02109,V02109,S007,2025-04-21 04:41,62,51.44,9.0,462.96,AC Fast,Debit Card,Rain,High
CS000174,CU01447,V01447,S007,2025-04-19 13:55,61,51.23,12.0,614.76,DC Fast 60kW,Wallet,Clear,High
CS000175,CU00091,V00091,S034,2025-06-04 20:58,87,18.86,9.0,169.74,DC Fast 30kW,Credit Card,Cloudy,High
CS000176,CU00163,V00163,S003,2025-03-21 12:39,119,23.2,8.5,197.2,DC Fast 60kW,Credit Card,Cloudy,Low
CS000177,CU02449,V02449,S039,2025-02-08 04:13,132,39.07,9.0,351.63,AC Fast,Credit Card,Clear,Low
CS000178,CU00586,V00586,S026,2025-03-22 21:03,50,48.54,8.5,412.59,AC Fast,Wallet,Cloudy,Medium
CS000179,CU00941,V00941,S043,2025-06-16 16:59,129,64.17,10.0,641.7,DC Ultra Fast 120kW,Credit Card,Cloudy,Medium
CS000180,CU00101,V00101,S028,2025-05-07 15:35,132,36.92,8.5,313.82,DC Fast 30kW,Credit Card,Hot,Low
CS000181,CU01691,V01691,S006,2025-03-29 06:47,26,30.33,8.5,257.81,DC Fast 60kW,UPI,Hot,Medium
CS000182,CU00106,V00106,S023,2025-06-15 12:42,87,39.14,12.0,469.68,AC Fast,Debit Card,Hot,High
CS000183,CU02017,V02017,S030,2025-05-16 11:51,74,32.4,12.0,388.8,DC Fast 30kW,Debit Card,Rain,Medium
CS000184,CU02715,V02715,S013,2025-06-01 02:39,85,54.16,9.0,487.44,DC Fast 30kW,Credit Card,Rain,Medium
CS000185,CU00371,V00371,S002,2025-06-22 23:25,84,15.65,8.5,133.03,DC Fast 60kW,Wallet,Cloudy,Medium
CS000186,CU02991,V02991,S021,2025-01-13 17:05,88,47.62,8.5,404.77,DC Fast 30kW,Debit Card,Hot,Low
CS000187,CU00198,V00198,S001,2025-05-05 16:50,100,39.41,12.0,472.92,DC Fast 30kW,Credit Card,Cloudy,Medium
CS000188,CU01369,V01369,S013,2025-01-21 18:45,33,37.04,9.0,333.36,AC Fast,Wallet,Cloudy,Low
CS000189,CU02019,V02019,S042,2025-04-18 14:39,65,20.99,11.5,241.38,AC Slow,UPI,Rain,High
CS000190,CU02229,V02229,S046,2025-02-19 14:32,49,38.34,12.0,460.08,AC Fast,Wallet,Clear,Medium
CS000191,CU01304,V01304,S018,2025-01-25 02:26,96,29.68,8.5,252.28,AC Fast,UPI,Hot,High
CS000192,CU01773,V01773,S025,2025-04-04 11:23,85,20.24,10.0,202.4,DC Fast 60kW,Debit Card,Clear,Medium
CS000193,CU01371,V01371,S014,2025-01-05 00:45,138,14.01,11.5,161.12,DC Ultra Fast 120kW,Credit Card,Clear,High
CS000194,CU00804,V00804,S035,2025-02-23 04:40,93,14.57,10.0,145.7,DC Ultra Fast 120kW,Credit Card,Rain,Medium
CS000195,CU02717,V02717,S033,2025-01-15 17:12,103,63.1,9.0,567.9,DC Fast 30kW,Debit Card,Clear,High
CS000196,CU00885,V00885,S015,2025-06-27 18:02,117,35.8,12.0,429.6,DC Ultra Fast 120kW,Debit Card,Rain,High
CS000197,CU01641,V01641,S022,2025-05-19 11:30,112,46.8,12.0,561.6,AC Slow,Wallet,Clear,Medium
CS000198,CU02718,V02718,S018,2025-01-19 14:02,47,36.93,11.5,424.69,DC Ultra Fast 120kW,UPI,Rain,High
CS000199,CU00842,V00842,S046,2025-06-25 11:28,82,59.36,11.5,682.64,AC Slow,Credit Card,Rain,Low
CS000200,CU00752,V00752,S005,2025-04-05 13:23,111,20.07,10.0,200.7,DC Fast 30kW,Credit Card,Hot,Medium
CS000201,CU02717,V02717,S034,2025-02-21 03:44,120,26.91,11.5,309.46,DC Ultra Fast 120kW,Wallet,Rain,Low
CS000202,CU01448,V01448,S046,2025-04-30 00:14,79,15.66,10.0,156.6,DC Ultra Fast 120kW,Wallet,Hot,Medium
CS000203,CU01226,V01226,S030,2025-01-17 06:14,103,45.42,8.5,386.07,DC Fast 30kW,UPI,Rain,Medium
CS000204,CU02682,V02682,S019,2025-05-09 20:45,85,60.8,10.0,608.0,AC Slow,Debit Card,Rain,Low
CS000205,CU01488,V01488,S027,2025-06-29 21:32,63,50.91,8.5,432.73,AC Fast,Wallet,Rain,Low
CS000206,CU01321,V01321,S032,2025-03-30 05:25,80,51.05,12.0,612.6,DC Fast 30kW,Debit Card,Clear,Medium
CS000207,CU00820,V00820,S012,2025-06-09 04:48,134,61.11,12.0,733.32,DC Fast 30kW,Debit Card,Clear,Medium
CS000208,CU02184,V02184,S036,2025-03-10 00:47,136,18.28,8.5,155.38,DC Fast 30kW,Wallet,Clear,Low
CS000209,CU02892,V02892,S049,2025-01-23 17:41,133,15.9,8.5,135.15,DC Ultra Fast 120kW,UPI,Cloudy,Low
CS000210,CU02392,V02392,S050,2025-03-27 07:59,110,15.96,9.0,143.64,DC Ultra Fast 120kW,Debit Card,Clear,Medium
CS000211,CU00380,V00380,S011,2025-05-03 21:45,53,49.04,8.5,416.84,DC Ultra Fast 120kW,Credit Card,Hot,High
CS000212,CU02431,V02431,S034,2025-01-05 18:47,97,16.7,12.0,200.4,DC Fast 30kW,Wallet,Clear,High
CS000213,CU02978,V02978,S033,2025-03-12 14:38,24,13.43,9.0,120.87,DC Fast 30kW,UPI,Rain,Low
CS000214,CU00042,V00042,S017,2025-03-18 23:31,99,32.83,10.0,328.3,DC Fast 30kW,UPI,Hot,Medium
CS000215,CU02769,V02769,S031,2025-02-26 09:36,123,45.99,11.5,528.88,DC Ultra Fast 120kW,Credit Card,Hot,Medium
